Message,IsToxic
Thầy chia sẻ phòng trọ Thái Nguyên,0
Nhóm mình tối nay họp online nhé,0
Trời ơi cứu tui với bài khó quá,0
Bạn tìm phòng ở Lab vào tối thứ 5,0
Đồ vô học clgt ạ,1
Mọi người hẹn lịch phòng trọ Thái Nguyên...,0
Thằng làm ăn như hạch biến đi nhé,1
Mày lừa đảo vcl ạ,1
Con rác rưởi clgt nhé,1
Lũ ngu clgt ạ,1
Thầy hẹn lịch Lab vào tối thứ 5...,0
Lũ làm ăn như hạch vcl nhé,1
Lũ rác rưởi thế nhỉ...,1
Lũ rác rưởi đm...,1
Nhóm mình giúp em sửa lỗi môn .NET???,0
Em đăng bài đồ án C#...,0
Lũ ngu thế nhỉ!,1
Con óc chó clgt ạ,1
Con óc chó vcl!,1
Nhóm mình hẹn lịch môn .NET???,0
Con óc chó thế nhỉ???,1
ngu vl,1
Lũ lừa đảo nghỉ học đi!,1
clgt,1
Lũ làm ăn như hạch biến đi ạ,1
Mình giúp em sửa lỗi môn .NET???,0
Con rác rưởi thế nhỉ ạ,1
Mày làm ăn như hạch vcl???,1
Nhóm mình tìm phòng ở đồ án C#,0
Mày câm mồm vào,1
đ.m,1
làm ăn như cái đb,1
Em cho hỏi về đồ án C#???,0
Mọi người đăng bài khu C5,0
Lũ rác rưởi biến đi!,1
vl,1
Code chạy bị lỗi bug hoài chán ghê,0
thằng ranh con,1
Đồ án này làm chán quá toàn lỗi,0
Em tìm phòng ở Lab vào tối thứ 5...,0
Bạn đăng bài thư viện ML.NET???,0
Lũ óc chó vcl,1
Em giúp em sửa lỗi Lab vào tối thứ 5,0
Lũ rác rưởi biến đi!,1
Đồ ngu clgt ạ,1
Bắt chó đi dạo thôi,0
Mày làm ăn như hạch thế nhỉ...,1
Đồ vô học đm ạ,1
Đồ óc chó biến đi ạ,1
Thằng lừa đảo thế nhỉ???,1
Hôm nay đi học mệt thật sự,0
Mày lừa đảo thế nhỉ,1
Mày óc chó đm ạ,1
Thằng ngu clgt nhé,1
Nhóm mình giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Mày vô học nghỉ học đi...,1
Thầy hẹn lịch môn .NET nhé,0
Cảm ơn bạn nhiều nha,0
Đồ ngu thế nhỉ ạ,1
Thằng vô học clgt,1
Thằng lừa đảo thế nhỉ???,1
Con óc chó thế nhỉ ạ,1
Em tìm phòng ở thư viện ML.NET nhé,0
Thầy tìm phòng ở đồ án C#!,0
Đồ lừa đảo vcl...,1
Lũ lừa đảo vcl ạ,1
Thầy giúp em sửa lỗi thư viện ML.NET,0
Em tìm phòng ở Lab vào tối thứ 5 nhé,0
Bạn giúp em sửa lỗi môn .NET???,0
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên???,0
Mọi người cho hỏi về môn .NET ạ,0
Em tìm phòng ở đồ án C# nhé,0
Lũ óc chó clgt???,1
Nhóm mình đăng bài Lab vào tối thứ 5 ạ,0
óc chó à,1
Bạn hẹn lịch đồ án C#...,0
vl,1
Đồ óc chó vcl ạ,1
Đồ vô học vcl ạ,1
Mọi người chia sẻ tài liệu ôn thi đi,0
Ai có tài liệu môn ML.NET không cho mình xin với,0
Thằng mặt lồn,1
Thầy giúp em sửa lỗi đồ án C#...,0
Cút ngay cho khuất mắt tao,1
Bạn giúp em sửa lỗi môn .NET...,0
Con làm ăn như hạch biến đi nhé,1
Mọi người cho hỏi về đồ án C#!,0
Cái đồ quỷ sứ này làm nũng hoài,0
Thầy tìm phòng ở thư viện ML.NET nhé,0
đậu xanh,1
Mình cho hỏi về Lab vào tối thứ 5!,0
Thầy đăng bài khu C5,0
Nhóm mình chia sẻ Lab vào tối thứ 5 nhé,0
Bạn đăng bài môn .NET...,0
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên nhé,0
Bạn giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Thằng rác rưởi vcl ạ,1
Bạn đăng bài khu C5???,0
thằng ranh con,1
vl,1
Thầy chia sẻ thư viện ML.NET...,0
đmm,1
Em tìm phòng ở đồ án C#???,0
Thằng chó đẻ,1
vl thật,1
Con vô học đm???,1
Mày làm ăn như hạch nghỉ học đi...,1
Bạn chia sẻ phòng trọ Thái Nguyên!,0
Mình cho hỏi về thư viện ML.NET!,0
Mọi người cho hỏi về Lab vào tối thứ 5???,0
Lỗi này fix thế nào anh em?,0
Nhóm mình đăng bài phòng trọ Thái Nguyên nhé,0
Mày sủa bậy bạ gì đấy,1
Đồ án này làm chán quá toàn lỗi,0
Mọi người giúp em sửa lỗi thư viện ML.NET,0
Bạn hẹn lịch khu C5 ạ,0
Lũ ngu thế nhỉ???,1
Mình đăng bài khu C5 nhé,0
Đồ vô học clgt!,1
Đồ vô học clgt nhé,1
clgt,1
Mày óc chó đm ạ,1
Em tìm phòng ở Lab vào tối thứ 5...,0
Mình cho hỏi về đồ án C# ạ,0
Em đăng bài thư viện ML.NET...,0
Em chia sẻ Lab vào tối thứ 5...,0
Hôm nay đi học mệt thật sự,0
Em đăng bài đồ án C#!,0
Em tìm phòng ở Lab vào tối thứ 5,0
Thằng vô học clgt nhé,1
Em đăng bài thư viện ML.NET???,0
Bạn tìm phòng ở khu C5 ạ,0
Em giúp em sửa lỗi phòng trọ Thái Nguyên ạ,0
