Message,IsToxic
"thay dang bai lab vao toi thu 5 a",0
"em cho hoi ve lab vao toi thu 5 a",0
"chao anh em, chau check server the nao",0
"chao may, chau xin server a",0
"ban cho hoi ve do an c#",0
"minh tim phong o mon .net???",0
"ba la do oc cho deo",1
"nhom minh tim phong o do an c#!",0
"ban la do dot vcl",1
"may vo hoc bien di???",1
"lu vo hoc clgt a",1
"thang kia la do oc cho cut",1
"ong la do khung deo",1
"con kia la do lua dao db",1
"do lam an nhu hach vcl...",1
"dm may oc cho",1
"hello nha",0
"cam on thay a",0
"ngu vl",1
"cho minh hoi chut voi",0
