Message,IsToxic
Thầy đăng bài Lab vào tối thứ 5 ạ,0
Em cho hỏi về Lab vào tối thứ 5 ạ,0
"Chào anh em, cháu check server thế nào",0
"Chào mày, cháu xin server ạ",0
Bạn cho hỏi về đồ án C#,0
Mình tìm phòng ở môn .NET???,0
Bà là đồ óc chó đéo,1
Nhóm mình tìm phòng ở đồ án C#!,0
Bạn cho hỏi về khu C5???,0
Bạn giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Hôm nay em thấy buồn ghê,0
Chào nha,0
Mình chia sẻ Lab vào tối thứ 5 nhé,0
Bạn là đồ dốt vcl,1
Mình giúp em sửa lỗi khu C5...,0
Mày vô học biến đi???,1
Lũ vô học clgt ạ,1
Thằng kia là đồ óc chó cứt,1
"Ê thằng kia, em làm bug nha",0
Ông là đồ khùng đéo,1
Thầy giúp em sửa lỗi khu C5???,0
"Xin chào mn, tớ sửa đồ án nha",0
"Ê con kia, chị xem code thế nào",0
o'c cho' mn phế vật,1
Con kia là đồ lừa đảo đb,1
Hello nha,0
Đồ làm ăn như hạch vcl...,1
đ.m mày óc chó,1
đb n.g.u,1
Con kia là đồ rác rưởi mẹ mày,1
Hôm nay anh thấy vui quá,0
Bà là đồ khùng đb,1
"Mọi người ơi con kia, con lỗi bug thế nào",0
Đồ óc chó biến đi ạ,1
Thằng kia là đồ óc chó chó đẻ,1
Mày rác rưởi nghỉ học đi ạ,1
Mày là đồ điên clgt,1
Con vô học thế nhỉ!,1
Bạn là đồ óc chó chó đẻ,1
Thằng làm ăn như hạch thế nhỉ...,1
đmm dkm,1
Mình cho hỏi về Lab vào tối thứ 5!,0
Thầy chia sẻ môn .NET...,0
"Ê con kia, mình chạy thi cảm ơn",0
"Cả nhà ơi mày, tớ check bài tập giúp mình",0
Ông là đồ phế vật đb,1
Mày ngu biến đi,1
v c l thằng kia vô học,1
Bạn tìm phòng ở phòng trọ Thái Nguyên...,0
Thằng ngu clgt???,1
mẹ mày !,1
"Ê con kia, anh chậm bài tập thế nào",0
Bớt sủa lại đi cái thứ rác rưởi mẹ mày,1
Mình cho hỏi về phòng trọ Thái Nguyên nhé,0
Đồ óc chó thế nhỉ!,1
Lũ làm ăn như hạch biến đi,1
"Xin chào ông, tớ chạy web với",0
Mình tìm phòng ở phòng trọ Thái Nguyên nhé,0
Ông là đồ vô học mẹ mày,1
o'c cho' bà ngu,1
r4c anh em dốt,1
"Xin chào anh em, tớ xin thi cảm ơn",0
Con óc chó vcl nhé,1
v c l ông đần,1
Đồ vô học vcl ạ,1
Thầy hẹn lịch Lab vào tối thứ 5 nhé,0
Bạn tìm phòng ở đồ án C#,0
Thầy chia sẻ khu C5???,0
Thằng lừa đảo vcl,1
Xin chào mn,0
"Hello bà, mình sửa sql cảm ơn",0
Bạn là đồ lừa đảo cứt,1
Hôm nay chị thấy vui quá,0
Hôm nay mình thấy vui quá,0
vl v_l,1
Mọi người chia sẻ đồ án C#!,0
đm vclll,1
Bạn là đồ dốt đmm,1
Con kia là đồ khùng vl,1
clgt v c l,1
Bạn giúp em sửa lỗi môn .NET ạ,0
"Cả nhà ơi bà, mình xem java thế nào",0
"Chào thằng kia, cháu check môn học ạ",0
"Hello bà, cháu xem kiểm tra với",0
"Ê bà, em chạy bug ạ",0
o'c cho' mn lừa đảo,1
Mày ngu biến đi???,1
Mình cho hỏi về phòng trọ Thái Nguyên???,0
Con làm ăn như hạch clgt nhé,1
Hôm nay tớ thấy hết tiền ghê,0
Bớt sủa lại đi cái thứ ngu vl,1
đ km mày vô học,1
r4c anh em óc chó,1
vl n.g.u,1
Em hẹn lịch khu C5???,0
Mình cho hỏi về thư viện ML.NET nhé,0
Hôm nay con thấy buồn vcl (vui cực luôn),0
đm n.g.u,1
"Chào anh em, tớ xin sql ạ",0
Em cho hỏi về thư viện ML.NET nhé,0
Bà là đồ ngu vl,1
Mày ngu clgt???,1
Hôm nay cháu thấy vui quá,0
Hôm nay mình thấy buồn vcl (vui cực luôn),0
Hello nhé,0
